id,author,geometry,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
4147,Weatherhead,tube,13.79,2034.0,-0.1356,7.7,7.7,457.0,3.7
23341,,,6.89,6157.0,-0.1332,,3.6,76.0,6.6
5858,Thompson,tube,6.89,4286.0,-0.0092,10.3,10.3,794.0,5.9
7624,Thompson,tube,6.89,5859.0,-0.0574,10.3,10.3,794.0,3.6
3039,Thompson,tube,6.89,5479.0,-0.0069,23.6,,1972.0,4.9
3518,Thompson,tube,,6266.0,-0.0338,10.3,10.3,794.0,8.3
29360,Thompson,,12.07,4042.0,-0.0296,1.9,1.9,152.0,5.5
25119,Thompson,tube,18.96,1214.0,-0.1174,1.9,1.9,696.0,3.4
18386,Thompson,,9.0,1484.0,-0.1317,11.5,11.5,1524.0,3.9
13236,Thompson,tube,13.79,956.0,-0.2387,7.7,7.7,457.0,6.5
15261,Weatherhead,tube,13.79,932.0,-0.0487,,7.7,,12.8
14275,Janssen,,6.89,1519.0,0.0497,4.6,11.3,1778.0,3.8
12443,Weatherhead,tube,13.79,932.0,0.1698,7.7,7.7,457.0,1.5
7693,Thompson,,10.34,3920.0,-0.0653,10.3,10.3,762.0,11.0
14696,Thompson,tube,3.83,3811.0,0.0332,10.8,10.8,864.0,4.5
15854,Thompson,tube,6.89,5900.0,0.0133,10.3,,762.0,3.6
7744,Thompson,tube,13.79,2373.0,-0.0309,,,591.0,5.0
23970,Janssen,,4.16,1519.0,0.1247,12.7,42.3,,3.2
12840,Thompson,tube,13.79,2848.0,0.0787,7.8,7.8,,2.5
30870,Richenderfer,plate,0.2,2000.0,-0.0345,15.0,120.0,10.0,4.0
4884,Beus,annulus,13.79,3998.0,-0.0195,5.6,15.2,2134.0,6.8
11691,Weatherhead,,13.79,1356.0,0.0908,7.7,7.7,457.0,2.2
10726,Beus,annulus,13.79,3684.0,0.0124,5.6,15.2,,3.0
13211,Janssen,annulus,6.85,1519.0,0.1077,12.7,42.3,,3.1
29081,Thompson,tube,13.79,4204.0,0.0465,4.6,4.6,295.0,2.6
22206,,tube,,956.0,0.0145,,7.7,457.0,2.6
19161,,tube,12.0,4986.0,-0.0313,10.0,10.0,1000.0,4.1
19612,Janssen,annulus,9.68,2278.0,0.0116,,42.3,1778.0,3.6
15252,Thompson,tube,13.79,2563.0,0.1712,4.6,4.6,295.0,2.2
30512,,annulus,15.51,1354.0,0.0253,,,2134.0,2.1
26962,Thompson,tube,6.86,,-0.0385,10.8,10.8,432.0,3.3
8104,Weatherhead,,13.79,1354.0,0.1786,7.7,7.7,457.0,1.6
3046,,,6.72,4014.0,0.0231,,10.8,216.0,3.6
6398,Janssen,annulus,6.89,1519.0,0.0865,12.7,42.3,1778.0,3.1
21616,Beus,annulus,13.79,3635.0,0.1459,,,2134.0,3.3
11577,,tube,,4136.0,0.0887,5.6,5.6,,4.4
29808,Thompson,tube,13.79,4069.0,0.0818,4.6,4.6,295.0,3.8
18725,Thompson,tube,,,-0.0487,,7.7,457.0,4.8
9564,Beus,annulus,,1364.0,0.1233,5.6,15.2,2134.0,2.2
28075,Thompson,tube,17.24,1939.0,-0.0054,1.9,1.9,696.0,3.3
7116,,tube,13.79,2251.0,0.0415,1.9,1.9,696.0,4.1
27731,Thompson,,6.72,4055.0,0.0763,10.8,10.8,864.0,2.0
4552,,,11.0,3391.0,0.0849,11.5,11.5,,2.8
18513,Weatherhead,tube,13.79,,0.1275,7.7,7.7,457.0,1.5
6630,Thompson,tube,6.89,,-0.0134,10.3,10.3,762.0,6.6
12166,Weatherhead,tube,13.79,1200.0,0.1498,11.1,11.1,457.0,1.8
12042,Thompson,tube,6.89,6089.0,-0.0482,10.3,10.3,794.0,6.2
5303,Peskov,tube,16.0,5361.0,-0.1284,10.0,10.0,,4.8
17592,Thompson,tube,13.79,2143.0,0.0238,4.7,4.7,305.0,2.2
13609,Thompson,tube,,7351.0,-0.0483,10.3,10.3,794.0,4.9
31491,Thompson,,6.89,3825.0,0.0262,23.6,23.6,1972.0,2.0
22205,Beus,annulus,,2729.0,-0.0187,5.6,15.2,2134.0,2.4
20206,Thompson,tube,18.27,1316.0,-0.1284,3.0,3.0,,1.8
5933,Thompson,tube,6.89,5384.0,0.0135,23.6,23.6,610.0,2.5
14196,Thompson,tube,,542.0,0.0145,7.7,7.7,457.0,2.0
9302,Thompson,tube,13.79,1316.0,-0.1438,3.6,,76.0,3.6
18575,Janssen,annulus,,,0.123,,42.3,2743.0,2.2
15105,Thompson,tube,,2007.0,-0.1441,1.9,1.9,152.0,3.2
6618,Thompson,,13.79,734.0,0.1305,4.7,4.7,318.0,2.1
15692,Thompson,tube,10.0,1944.0,0.0103,10.0,,,4.2
6060,Weatherhead,tube,,1370.0,0.1275,7.7,7.7,457.0,1.5
20358,Thompson,,6.89,949.0,-0.0373,23.6,23.6,,3.7
24766,,tube,6.72,2034.0,0.1113,,10.8,432.0,3.4
18457,Thompson,tube,,888.0,0.0374,7.8,7.8,591.0,2.8
20924,Thompson,tube,6.72,4096.0,-0.0424,10.8,10.8,,5.9
5305,Thompson,tube,,1272.0,0.0505,7.8,7.8,591.0,2.9
11506,Janssen,annulus,6.92,1519.0,0.1482,8.5,22.3,2743.0,2.1
18234,Thompson,tube,6.89,7500.0,0.0335,10.3,10.3,762.0,3.6
6472,Thompson,,6.89,1332.0,0.0406,23.6,23.6,610.0,6.7
26054,Janssen,annulus,9.68,5533.0,-0.0158,12.7,38.1,914.0,4.1
1771,Thompson,tube,,1316.0,0.0226,5.7,5.7,625.0,2.8
21539,Weatherhead,tube,13.79,1344.0,-0.3201,7.7,,457.0,11.0
20698,Thompson,,13.79,2360.0,0.1008,,7.8,591.0,2.2
18972,Thompson,tube,10.34,,-0.1209,10.3,10.3,762.0,4.3
5920,Thompson,tube,10.34,5913.0,-0.1171,10.3,10.3,,6.0
278,Thompson,tube,3.45,5737.0,0.0854,10.3,10.3,762.0,4.3
1662,Thompson,,13.79,,0.0971,7.7,7.7,457.0,1.6
9172,Thompson,tube,6.89,4842.0,-0.1182,10.3,10.3,794.0,12.7
17207,Weatherhead,tube,13.79,1356.0,0.0446,,11.1,457.0,2.4
31297,Thompson,tube,6.89,4069.0,-0.0188,10.8,10.8,864.0,7.0
6679,Janssen,annulus,8.27,1519.0,0.0245,12.7,,1778.0,8.0
26837,,,6.89,5696.0,-0.0298,10.3,10.3,762.0,3.8
2375,Weatherhead,tube,13.79,,-0.0665,11.1,11.1,,2.4
26305,Weatherhead,tube,13.79,1370.0,-0.2389,11.1,11.1,10.0,2.8
14250,Williams,tube,13.79,3757.0,0.0716,9.5,9.5,1836.0,1.4
2697,Thompson,tube,11.14,,0.0649,11.5,11.5,,2.3
26809,Thompson,tube,6.79,1899.0,0.0028,,10.8,432.0,4.3
17891,Janssen,annulus,6.89,1533.0,0.2057,8.5,22.3,2743.0,2.0
17813,Thompson,tube,13.79,2889.0,0.0376,4.7,4.7,318.0,2.8
29281,Thompson,tube,3.86,4069.0,0.0902,5.6,5.6,432.0,5.7
23480,Thompson,tube,13.79,,0.0753,,4.7,305.0,1.8
2657,,tube,13.79,3038.0,-0.0195,1.9,1.9,152.0,13.0
29972,Thompson,tube,6.83,4069.0,0.0088,10.8,10.8,,3.6
25488,Thompson,,6.89,5561.0,0.0441,6.4,15.9,914.0,2.6
10871,,annulus,4.16,1519.0,0.0032,12.7,42.3,1778.0,3.7
27704,Peskov,,,1944.0,-0.0465,10.0,10.0,,3.2
412,Beus,annulus,,1345.0,-0.0135,,15.2,2134.0,2.0
6589,Janssen,,9.71,1505.0,-0.0158,12.7,42.3,1778.0,3.1
15949,Thompson,tube,12.0,4986.0,-0.0629,,,1000.0,3.4
19172,Thompson,,10.34,6008.0,-0.0416,10.3,10.3,762.0,6.0
823,Weatherhead,,13.79,3784.0,0.099,7.7,7.7,,1.8
7522,Thompson,tube,6.89,5357.0,0.1005,12.8,,1930.0,2.2
4335,Thompson,,13.79,,0.0486,7.8,7.8,,2.3
19515,Thompson,tube,10.34,3947.0,-0.0595,10.3,,762.0,5.4
26974,Weatherhead,,,1336.0,0.134,,7.7,457.0,2.2
29919,Peskov,tube,16.0,2439.0,-0.0629,10.0,10.0,890.0,2.2
4539,Thompson,tube,6.89,3933.0,-0.0321,10.3,10.3,762.0,4.9
25082,Mortimore,annulus,13.79,2698.0,-0.0426,5.0,13.3,2134.0,2.1
7411,Thompson,tube,12.07,2699.0,-0.0229,1.9,1.9,,5.8
5572,Weatherhead,tube,,956.0,0.0196,11.1,11.1,457.0,3.5
12578,Thompson,tube,,4096.0,0.0372,,11.5,1524.0,1.8
6024,,tube,0.2,2000.0,-0.0373,15.0,120.0,10.0,5.4
11946,,annulus,9.71,,-0.0383,12.7,38.1,914.0,3.6
24226,,,10.34,7893.0,-0.1491,10.3,10.3,762.0,4.7
3666,Richenderfer,plate,1.01,,0.0027,15.0,120.0,10.0,4.3
18975,Thompson,,13.79,4787.0,-0.0398,4.7,,318.0,4.4
2958,Thompson,tube,18.96,2726.0,-0.1437,1.9,1.9,130.0,4.8
27625,,tube,13.79,2034.0,-0.0483,11.1,11.1,457.0,2.8
3080,Thompson,tube,13.79,,0.1584,,7.8,591.0,1.4
23288,Thompson,tube,18.27,4700.0,-0.1224,3.0,3.0,150.0,5.5
25057,,plate,0.1,783.0,-0.0109,15.0,120.0,10.0,3.1
12143,Weatherhead,tube,13.79,2645.0,-0.1341,7.7,7.7,457.0,4.5
19095,Thompson,,13.79,4855.0,0.0554,4.6,4.6,295.0,4.8
15050,Thompson,tube,13.79,3703.0,0.0854,4.7,4.7,318.0,4.0
18770,Thompson,tube,13.79,1695.0,0.1274,4.7,4.7,318.0,2.6
17595,Thompson,tube,18.96,2767.0,-0.2834,1.9,1.9,152.0,3.5
21332,Williams,tube,15.17,2763.0,0.1114,9.5,9.5,1836.0,1.7
13297,Peskov,tube,12.0,1000.0,-0.2306,10.0,10.0,565.0,5.0
20632,Thompson,tube,13.79,5398.0,-0.0373,4.7,4.7,318.0,3.8
26819,Thompson,tube,3.45,,0.0873,10.3,10.3,762.0,4.6
17571,Thompson,tube,6.89,3784.0,-0.0264,10.3,10.3,,4.6
27847,Weatherhead,,13.79,1980.0,0.0484,,7.7,,2.3
16465,Thompson,tube,15.51,,-0.071,1.9,,696.0,2.5
10838,Beus,annulus,11.03,,0.0824,,15.2,2134.0,1.5
9468,,tube,13.79,4259.0,0.0404,4.7,4.7,318.0,2.4
9534,Thompson,,13.79,6144.0,0.0928,,4.7,318.0,1.7
10559,Thompson,,6.89,3987.0,-0.0289,10.3,10.3,762.0,3.5
23362,Peskov,tube,14.0,2439.0,0.0334,,10.0,1650.0,2.9
18955,Weatherhead,tube,,,-0.0742,7.7,7.7,457.0,2.2
22867,Thompson,tube,2.63,1316.0,0.0136,3.6,,76.0,3.9
13023,Thompson,tube,13.79,5574.0,0.0593,4.7,,318.0,2.6
26856,Thompson,tube,10.34,7432.0,-0.0504,10.3,10.3,762.0,4.9
31115,Thompson,tube,,3608.0,-0.2106,4.7,4.7,,3.8
17933,Thompson,tube,13.79,2116.0,0.0682,7.8,7.8,591.0,2.3
9414,Thompson,,6.89,,0.0369,23.6,23.6,610.0,3.7
5575,Beus,annulus,8.27,2733.0,0.1219,5.6,,2134.0,1.4
16174,Thompson,tube,13.79,1356.0,0.0383,4.7,4.7,,2.4
28928,Thompson,,10.34,7893.0,-0.0229,,10.3,762.0,7.7
27328,,tube,6.79,4001.0,-0.0198,10.8,,432.0,3.9
6731,,annulus,,2278.0,0.0108,12.7,,1778.0,3.7
5990,,tube,13.79,671.0,-0.2387,7.7,7.7,457.0,3.5
12728,Thompson,tube,,,-0.0997,,10.3,762.0,5.0
24436,Thompson,,15.51,2997.0,0.0028,1.9,1.9,152.0,2.1
4419,Janssen,,6.89,,0.0101,12.7,42.3,,2.5
19414,Weatherhead,tube,,,-0.1084,11.1,11.1,457.0,3.6
