iter	Passed	Remaining
0	2	1090
1	4	1064
2	6	1033
3	8	1013
4	10	1004
5	12	988
6	14	986
7	15	982
8	17	980
9	20	981
10	22	990
11	24	994
12	26	993
13	28	994
14	30	991
15	32	986
16	34	983
17	36	982
18	38	981
19	40	978
20	42	977
21	44	976
22	46	974
23	48	971
24	50	968
25	52	965
26	54	962
27	57	961
28	59	964
29	61	967
30	63	968
31	66	965
32	68	967
33	70	966
34	72	965
35	74	963
36	76	962
37	79	960
38	81	959
39	83	954
40	84	950
41	86	945
42	88	942
43	90	938
44	92	935
45	94	931
46	96	927
47	98	926
48	100	923
49	102	919
50	103	915
51	105	910
52	107	907
53	109	903
54	111	901
55	113	896
56	114	893
57	116	890
58	118	886
59	120	883
60	122	880
61	124	877
62	125	873
63	127	871
64	129	868
65	131	865
66	133	862
67	135	860
68	137	857
69	139	854
70	141	852
71	142	848
72	144	846
73	146	843
74	148	840
75	150	837
76	151	834
77	153	832
78	155	829
79	157	826
80	159	825
81	161	822
82	163	820
83	165	818
84	167	815
85	169	813
86	171	812
87	173	810
88	175	808
89	176	806
90	178	803
91	180	801
92	182	798
93	184	796
94	186	793
95	187	791
96	189	788
97	191	785
98	193	783
99	195	780
100	197	778
101	198	776
102	200	773
103	202	772
104	204	769
105	206	767
106	208	765
107	210	762
108	211	760
109	213	758
110	215	755
111	217	753
112	219	751
113	221	749
114	223	746
115	224	744
116	226	742
117	228	740
118	230	738
119	232	736
120	234	734
121	236	732
122	238	730
123	240	728
124	242	727
125	244	725
126	246	723
127	248	721
128	250	719
129	252	717
130	253	715
131	255	713
132	257	711
133	259	709
134	261	707
135	263	705
136	265	703
137	267	701
138	269	699
139	271	697
140	273	695
141	275	693
142	277	691
143	279	690
144	281	687
145	282	686
146	284	683
147	286	682
148	288	679
149	290	677
150	292	675
151	294	673
152	296	672
153	298	670
154	299	667
155	301	665
156	303	663
157	305	661
158	307	658
159	309	656
160	311	655
161	312	652
162	314	650
163	316	648
164	318	646
165	320	644
166	322	642
167	324	640
168	325	638
169	327	636
170	329	634
171	331	632
172	333	629
173	334	627
174	336	625
175	338	623
176	340	621
177	342	619
178	344	617
179	346	615
180	347	613
181	349	611
182	351	609
183	353	607
184	355	605
185	357	603
186	359	601
187	361	599
188	362	597
189	364	595
190	366	593
191	368	591
192	370	589
193	372	587
194	374	585
195	376	583
196	378	581
197	379	579
198	381	577
199	383	575
200	385	573
201	387	571
202	389	569
203	391	567
204	393	565
205	395	563
206	396	561
207	398	559
208	400	557
209	402	555
210	404	553
211	406	551
212	407	549
213	409	547
214	411	545
215	413	543
216	415	541
217	417	539
218	418	537
219	420	535
220	422	533
221	424	531
222	426	529
223	428	527
224	430	525
225	432	523
226	433	521
227	435	519
228	437	517
229	439	515
230	441	513
231	442	511
232	444	509
233	446	507
234	448	505
235	450	503
236	452	501
237	454	500
238	456	497
239	457	496
240	459	494
241	461	492
242	463	490
243	465	488
244	467	486
245	469	484
246	471	482
247	473	480
248	475	478
249	476	476
250	478	474
251	480	473
252	482	471
253	484	469
254	486	467
255	488	465
256	489	463
257	491	461
258	493	459
259	495	457
260	497	455
261	499	453
262	501	451
263	502	449
264	504	447
265	506	445
266	508	443
267	510	441
268	512	439
269	514	438
270	516	436
271	518	434
272	519	432
273	521	430
274	523	428
275	525	426
276	527	424
277	529	422
278	530	420
279	533	418
280	534	416
281	536	414
282	538	412
283	540	411
284	542	409
285	544	407
286	545	405
287	547	403
288	549	401
289	551	399
290	553	397
291	554	395
292	556	393
293	558	391
294	560	389
295	562	387
296	564	385
297	565	383
298	567	381
299	569	379
300	571	377
301	573	375
302	574	373
303	576	371
304	578	369
305	580	368
306	582	366
307	584	364
308	585	362
309	587	360
310	589	358
311	591	356
312	593	354
313	594	352
314	596	350
315	598	348
316	600	346
317	602	344
318	604	342
319	606	341
320	608	339
321	610	337
322	612	335
323	613	333
324	615	331
325	617	329
326	619	327
327	621	325
328	623	323
329	624	321
330	626	319
331	628	318
332	630	316
333	632	314
334	634	312
335	635	310
336	638	308
337	639	306
338	641	304
339	643	302
340	645	300
341	647	299
342	649	297
343	650	295
344	652	293
345	655	291
346	657	289
347	659	288
348	661	286
349	663	284
350	665	282
351	666	280
352	668	278
353	670	276
354	672	274
355	674	272
356	676	271
357	678	269
358	680	267
359	681	265
360	683	263
361	685	261
362	687	259
363	689	257
364	691	255
365	692	253
366	694	251
367	696	249
368	698	247
369	700	246
370	702	244
371	704	242
372	706	240
373	707	238
374	709	236
375	711	234
376	713	232
377	715	230
378	717	229
379	719	227
380	721	225
381	722	223
382	724	221
383	726	219
384	728	217
385	730	215
386	732	213
387	733	211
388	735	209
389	737	208
390	739	206
391	741	204
392	743	202
393	745	200
394	747	198
395	748	196
396	750	194
397	752	192
398	754	190
399	756	189
400	758	187
401	759	185
402	761	183
403	763	181
404	765	179
405	767	177
406	769	175
407	770	173
408	772	171
409	774	170
410	776	168
411	778	166
412	780	164
413	782	162
414	783	160
415	785	158
416	787	156
417	789	154
418	791	153
419	793	151
420	795	149
421	796	147
422	798	145
423	800	143
424	802	141
425	804	139
426	806	137
427	807	135
428	809	134
429	811	132
430	813	130
431	815	128
432	817	126
433	819	124
434	821	122
435	822	120
436	824	118
437	826	116
438	828	115
439	829	113
440	831	111
441	833	109
442	835	107
443	837	105
444	838	103
445	840	101
446	842	99
447	844	98
448	846	96
449	848	94
450	850	92
451	852	90
452	853	88
453	855	86
454	857	84
455	859	82
456	861	81
457	863	79
458	865	77
459	866	75
460	868	73
461	870	71
462	872	69
463	874	67
464	876	65
465	878	64
466	879	62
467	881	60
468	883	58
469	885	56
470	887	54
471	889	52
472	891	50
473	893	48
474	894	47
475	896	45
476	898	43
477	900	41
478	902	39
479	903	37
480	905	35
481	907	33
482	909	32
483	911	30
484	912	28
485	914	26
486	916	24
487	918	22
488	920	20
489	922	18
490	924	16
491	926	15
492	928	13
493	929	11
494	931	9
495	933	7
496	935	5
497	937	3
498	939	1
499	941	0
