iter	Passed	Remaining
0	1	820
1	3	805
2	5	803
3	7	797
4	9	803
5	11	787
6	13	779
7	15	783
8	16	775
9	18	771
10	20	771
11	22	762
12	24	757
13	26	761
14	28	760
15	30	760
16	31	757
17	33	753
18	35	748
19	37	745
20	39	746
21	41	743
22	42	741
23	44	740
24	46	737
25	48	734
26	50	733
27	52	730
28	53	727
29	55	726
30	57	722
31	59	719
32	61	716
33	62	714
34	64	710
35	66	708
36	68	706
37	70	703
38	71	701
39	73	699
40	75	695
41	76	692
42	78	689
43	80	686
44	82	683
45	83	681
46	85	678
47	87	675
48	88	672
49	90	671
50	92	667
51	93	664
52	95	662
53	97	661
54	99	658
55	100	656
56	102	654
57	104	651
58	106	648
59	108	648
60	109	645
61	111	643
62	113	641
63	114	639
64	116	637
65	118	634
66	120	632
67	121	630
68	123	629
69	125	627
70	127	625
71	129	623
72	130	622
73	132	620
74	134	618
75	136	616
76	138	615
77	139	613
78	141	610
79	143	609
80	145	607
81	146	605
82	148	603
83	150	601
84	152	599
85	154	598
86	155	596
87	157	594
88	159	591
89	161	591
90	162	589
91	164	587
92	166	585
93	168	583
94	169	580
95	171	579
96	173	577
97	175	575
98	177	574
99	178	572
100	180	570
101	182	568
102	184	566
103	185	564
104	187	562
105	189	560
106	191	558
107	192	556
108	194	554
109	196	552
110	198	551
111	199	549
112	201	547
113	203	545
114	204	543
115	206	541
116	208	539
117	210	538
118	211	536
119	213	534
120	215	532
121	217	530
122	218	528
123	220	526
124	222	524
125	224	522
126	226	521
127	227	519
128	229	518
129	231	516
130	233	514
131	234	512
132	236	510
133	238	508
134	240	506
135	241	505
136	243	503
137	245	501
138	247	499
139	248	497
140	250	495
141	252	494
142	254	493
143	256	492
144	258	490
145	260	488
146	261	486
147	263	484
148	265	482
149	266	480
150	268	478
151	270	476
152	272	475
153	273	473
154	275	471
155	277	469
156	279	467
157	280	465
158	282	464
159	284	462
160	286	460
161	288	458
162	289	457
163	291	455
164	293	453
165	295	451
166	296	449
167	298	447
168	300	446
169	302	444
170	303	442
171	305	440
172	307	438
173	308	436
174	310	434
175	312	433
176	314	431
177	315	429
178	317	427
179	319	426
180	321	424
181	323	422
182	325	420
183	326	419
184	328	417
185	330	415
186	331	413
187	333	411
188	335	409
189	336	407
190	338	405
191	340	404
192	342	402
193	343	400
194	345	398
195	347	397
196	349	395
197	350	393
198	352	391
199	354	389
200	356	388
201	358	386
202	359	384
203	361	382
204	363	381
205	365	379
206	366	377
207	368	375
208	370	373
209	372	372
210	373	370
211	375	368
212	377	366
213	379	365
214	380	363
215	382	361
216	384	359
217	386	357
218	387	356
219	389	354
220	391	352
221	393	350
222	394	348
223	396	347
224	398	345
225	400	343
226	402	342
227	404	340
228	405	338
229	407	336
230	409	334
231	411	333
232	412	331
233	414	329
234	416	327
235	418	325
236	419	324
237	421	322
238	423	320
239	425	319
240	427	317
241	428	315
242	430	313
243	432	311
244	434	310
245	436	308
246	437	306
247	439	305
248	441	303
249	443	301
250	445	299
251	446	297
252	448	296
253	450	294
254	452	292
255	454	290
256	455	289
257	457	287
258	459	285
259	461	283
260	463	282
261	464	280
262	466	278
263	468	276
264	470	274
265	471	273
266	473	271
267	475	269
268	477	267
269	478	265
270	480	264
271	482	262
272	483	260
273	485	258
274	487	256
275	488	255
276	490	253
277	492	251
278	494	249
279	495	247
280	497	246
281	499	244
282	501	242
283	502	240
284	504	239
285	506	237
286	508	235
287	510	233
288	511	232
289	513	230
290	515	228
291	517	226
292	519	225
293	521	223
294	522	221
295	524	219
296	526	217
297	528	216
298	529	214
299	531	212
300	533	210
301	535	209
302	536	207
303	538	205
304	540	203
305	541	201
306	543	200
307	545	198
308	547	196
309	548	194
310	550	192
311	552	191
312	553	189
313	555	187
314	557	185
315	559	183
316	560	182
317	562	180
318	564	178
319	565	176
320	567	175
321	569	173
322	571	171
323	572	169
324	574	167
325	576	166
326	577	164
327	579	162
328	581	160
329	583	159
330	584	157
331	586	155
332	588	153
333	590	151
334	592	150
335	593	148
336	595	146
337	597	144
338	598	143
339	600	141
340	602	139
341	603	137
342	605	135
343	607	134
344	609	132
345	610	130
346	612	128
347	614	127
348	616	125
349	617	123
350	619	121
351	621	120
352	623	118
353	625	116
354	626	114
355	628	113
356	630	111
357	632	109
358	633	107
359	635	105
360	637	104
361	639	102
362	640	100
363	642	98
364	644	97
365	645	95
366	647	93
367	649	91
368	650	89
369	652	88
370	654	86
371	656	84
372	657	82
373	659	81
374	661	79
375	662	77
376	664	75
377	666	74
378	668	72
379	670	70
380	672	68
381	674	67
382	675	65
383	677	63
384	679	61
385	680	59
386	682	58
387	684	56
388	686	54
389	687	52
390	689	51
391	691	49
392	693	47
393	695	45
394	696	44
395	698	42
396	700	40
397	701	38
398	703	37
399	705	35
400	707	33
401	708	31
402	710	29
403	712	28
404	714	26
405	715	24
406	717	22
407	719	21
408	721	19
409	722	17
410	724	15
411	726	14
412	727	12
413	729	10
414	731	8
415	732	7
416	734	5
417	736	3
418	738	1
419	739	0
